reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appId
cad3aab0-c6ac-4cf0-9985-bb324a4c0e3f,Tânia Cristal,https://play-lh.googleusercontent.com/a/AATXAJzRJkCQh9uV_RRor4uaw94xUfe_m7pdfVFcoKfL=mo,"Gostava imenso da APP, mas desde que colocaram as taxas de serviço, esqueçam! Dificilmente volto a utilizar a não que uma boa promoção que compense!! Uma refeição de 6,5€ fica no check-out por 9,30€ (1,30€ de taxa serviço + 1,40€ taxa entrega + 0,10€ taxa saco). Vocês apregoam que fica mais barato para quem pede menos coisas, ou para restaurantes mais perto, mas este exemplo verídico em questão é um restaurante que fica a menos de 2km! Expliquem-me onde é que 2,70€ em taxas é mais barato..?",1,3,,2021-10-28 18:38:26,,,com.ubercab.eats
515ca3cf-5149-4ce3-93e0-542bc0969df0,putostreet10,https://play-lh.googleusercontent.com/a-/AOh14GgGTZ13J9pPtQtYD1bHJ-JCTEGXHgoaBjB1CvBj,"O exemplo perfeito de desleixo e falta de profissionalismo. Quando entraram no mercado e eram os únicos no ramo, o serviço prestado era sem dúvida de qualidade. Atualmente, está péssimo, horrível, amador! Códigos promocionais de 8€ que não são aplicados, (quando no check out do total do pedido já é apresentado o desconto e o preço final com o mesmo) e depois debitam sempre esses 8€ que dizem que vão descontar. Isso é roubo, amigos. Menos um cliente. Vamos dar voz a quem realmente merece!",1,13,,2021-11-18 04:13:42,,,com.ubercab.eats
c162e08c-55a1-4daf-a724-eb22f6c1f699,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Boa tarde,a entrega é boa porém achei horrível o fato de não conseguir mudar o número do cartão , ou seja se tenho outro cartão e quero utilizar não posso ? Tem a opção de excluir e editar mais o vosso aplicativo não deixa mudar . Então revejam esta situação porque é desagradável. Pois diz que não é possível excluir a forma de pagamento, já que só tenho uma cadastrada.",1,0,1.230.10001,2019-12-14 17:05:42,,,com.ubercab.eats
c9601334-73b2-4221-9651-b9a3108b9faa,Kelly Kreva,https://play-lh.googleusercontent.com/a-/AOh14GgVUijGhgDqwTgoGy0kGMjG637xknarQnaA_uvHcdk,"Ele era muito bom, mas esse ano de 2022 não é o mesmo que era antes. Direciona para o app Uber de viagens locais, não permanece no app Uber EATS. Demora para carregar e quando carrega aparece apenas mercados. Não tem mais restaurantes. Gostava muito do app. Mas vou desinstalar. (Já havia desinstalado no início do ano, mas agora decidi baixar para ver se já havia sido concertado e não foi.) Lamento muito, mas voltarei desinstalar.",1,261,6.114.10002,2022-06-07 07:04:02,,,com.ubercab.eats
12d13088-54d7-4803-8b96-3f797ae364ff,Eduardo Miranda,https://play-lh.googleusercontent.com/a/AATXAJx2_1W_KZrp3s2kpTeqx7dAX97503uaqAnmMFqp_eQ=mo,"Era o melhor app de deliver! Com cupons, e restaurantes selecionados excelentes. Mas após esta última atualização, com a mudança na interface, está sendo impossível de usar o aplicativo! As opções de restaurantes não são de fácil acesso, sem falar que aparece a mensagem relatando que deve ser feita a compra das comidas pelo app da UBER... NÃO FAZ SENTIDO! Infelizmente perderam mais um dentre os demais clientes por conta disto! Caso retorne ao normal, como era em 2021, volto a utiliza-lo.",1,1247,6.106.10002,2022-04-22 03:11:59,,,com.ubercab.eats
e3f6a15d-b797-4bfa-aa5d-a8233cfaa0a7,Júlia Macedo,https://play-lh.googleusercontent.com/a/AATXAJwuHqR9bAKUmGXmXLKCX9_yXiyGgv2QzPkVNeJY_ZY=mo,"Baixei o app após um período sem usá-lo e fiquei surpresa, não consegui ao menos entrar na tela principal. Quando abro, o app traz um ""anúncio"" para usar o transporte da Uber, quando fecho essa tela ele me direciona a escolher um endereço de entrega, até aí tudo bem, o problema surge quando seleciono o endereço e a tela fica carregando infinitamente. Gostava bastante do aplicativo, sempre preferi ele ao concorrente, porém agora serei obrigada a desinstala-lo e instalar o iFood.",1,873,6.111.10005,2022-05-10 23:47:53,,,com.ubercab.eats
4672539d-3a54-48da-9dcd-403b3b539f60,Joana X,https://play-lh.googleusercontent.com/a-/AOh14GjBtvinnjBA4Mc6_HgvZC_hUHZYpFB8W4V4nqLDQw,"Raramente os entregadores falam português, comunicação impossivel. Códigos de taxa de entrega gratuita? Não cobrem a taxa de serviço que geralmente é um valor absurdo,quando antes cobria tudo. Preços têm disparado em relação a outras aplicações de entrega de comida. Já foi uma aplicação e opção maravilhosa, agora é só para alturas desesperadas porque é impossivel pagar estes valores.",1,1,6.115.10000,2022-06-16 16:22:39,,,com.ubercab.eats
7d52f4f1-96eb-4f49-9ec1-263e293f3b3d,Lucimara Almeida,https://play-lh.googleusercontent.com/a/AATXAJznehi5hM79IHdZnbRbg7HBgVa_05DnT8F_cTpX=mo,"Era Muito prático e rápido. Porém me sinto enganada porque dizem que aceita Ticket alimentação, mas na hora de finalizar o pedido sempre fica como dinheiro e não no vale. Ajuda para usuários tbm é inexistente. E em 2022 se tornou obsoleto já q direciona para o app uber de viagens, oq é completamente esquisito. Desinstalando.",1,2,6.115.10000,2022-06-14 03:07:14,,,com.ubercab.eats
bbfa2da9-3d5d-46ef-886a-230478dc069d,Daniel Tenorio,https://play-lh.googleusercontent.com/a-/AOh14GjMpEBXA3mkc2cpqlh14vu82dnA0MTF3WNMFFzH6A,"No geral o app e bem funcional e seria uma ideia muito boa, porém tenho tido muitos problemas com a validade dos produtos, simplesmente você faz uma compra mês e recebe os produtos com validade de uma semana, não exemplifica validade de nenhum produto no ato da compra. Não recomendo, o que foi desenvolvido para facilitar a vida na verdade só trás estresse.",1,5,6.113.10004,2022-05-27 14:25:20,,,com.ubercab.eats
b5c3c330-1999-42c8-b0ba-e7a45c25a781,Gustavo Informática,https://play-lh.googleusercontent.com/a-/AOh14GgsRk7neZcoRgpXEIC5_uwP-cyU6vtX4OAplogwnA,"Dificuldade para ligar para o entregador ou entregador te ligar, dificuldade para cancelar o pedido, dificuldade para colocar o endereço certo via gps ligado e/ou para colocar o endereço manualmente.... preço dentro do aplicativo diferentes dos preços aplicados pelos estabelecimentos no local por fora do app, ou seja, no app os preço são mais caros, tudo isso reflete na nota. Tome cuidado e preste muita atenção na hora de usar....19/11/2019 e quase 3 anos depois cancelaram o serviço 🤔🙈👏👏👏",1,41,6.113.10004,2022-05-27 23:00:06,,,com.ubercab.eats
